,Date,Time_ch4,pond,Plot,flux_umol_m2_s1_ch4,flux_mg_m2_d_ch4,P_mbar_ch4,T_air_ch4,Slope (ppm/s)_ch4,Time_co2,flux_umol_m2_s1_co2,flux_mg_m2_d_co2,P_mbar_co2,T_air_co2,Slope (ppm/s)_co2
0,2023-07-07,10:48:00,burned,15BP1,0.001783690488806116,2.4719381660548887,1008.55,9.713,0.00023810000000000001,10:48:00,0.11087198334452127,421.5867252761417,1008.55,9.713,0.0148
1,2023-07-07,10:56:00,burned,15BP2,0.001964466689925015,2.7224679490327213,1008.45,10.298,0.0002628,10:56:00,0.21273325134608712,808.9105298464477,1008.45,10.298,0.0284
2,2023-07-15,11:30:00,burned,15BP1,0.0014768801701069737,2.0467432450237704,1010.35,9.866,0.0001969,11:30:00,,,1010.35,9.866,-0.0294
3,2023-07-15,11:37:00,burned,15BP2,0.0071361289682060685,9.88964714736219,1010.35,9.866,0.0009514,11:37:00,0.16651467636553996,633.1660623516166,1010.35,9.866,0.0222
4,2023-07-20,16:14:00,burned,15BP1,0.025226228701823963,34.95992040379495,1012.45,13.311,0.0033971,16:14:00,1.0116874019668842,3846.9049252326063,1012.45,13.311,0.1346
5,2023-07-20,16:20:00,burned,15BP2,0.020561259616221104,28.494945006697712,1012.15,13.62,0.0027727,16:20:00,1.0630613045543367,4042.252340360901,1012.15,13.62,0.1432
6,2023-07-02,10:45:00,unburned,UBP1,0.014418537749585155,19.982017051489084,1008.05,15.432,0.0019646,10:45:00,0.24219268336369246,920.9289595538395,1008.05,15.432,0.033
7,2023-07-02,10:55:00,unburned,UBP2,0.013820723920334175,19.15353316933864,1008.65,15.888,0.001885,10:55:00,0.37158315240448603,1412.9315600245716,1008.65,15.888,0.0506
8,2023-07-10,10:12:00,unburned,UBP1,0.03181943394443034,44.097153448492456,1004.55,8.904,0.0042522,10:12:00,0.19058600631849162,724.6964279298369,1004.55,8.904,0.0261
9,2023-07-10,10:17:00,unburned,UBP2,0.044271980867652785,61.354590317321815,1004.55,8.904,0.005916299999999999,10:17:00,0.7932035177342589,3016.127820857881,1004.55,8.904,0.106
10,2023-07-17,10:05:00,unburned,UBP1,0.011158932044222865,15.464672927078523,1012.35,14.574,0.0015095,10:05:00,,,1012.35,14.574,-0.0242
11,2023-07-17,10:11:00,unburned,UBP2,0.014965314362586796,20.739770701277088,1012.35,14.574,0.0020244,10:11:00,0.18185473884589762,691.4960976909272,1012.35,14.574,0.0246
12,2023-07-28,,burned,15BP1,,,,,,10:14:00,0.8050964582872728,3061.3502991648566,1011.85,12.472,0.1086
13,2023-07-28,,burned,15BP2,,,,,,10:21:00,0.35872792062840647,1364.050003984373,1011.75,12.529,0.0482
14,2023-07-24,,unburned,UBP1,,,,,,11:14:00,6.406303499646833,24359.738430481095,1007.35,13.403,0.8709
15,2023-07-24,,unburned,UBP2,,,,,,11:19:00,5.632409637924618,21417.034881461394,1007.45,13.558,0.7625
