Date,DO_mgL,pond
2024-07-03,8.739230769230769,burned
2024-07-04,9.597083333333332,burned
2024-07-05,9.647499999999999,burned
2024-07-06,9.595416666666667,burned
2024-07-07,9.57,burned
2024-07-08,8.654166666666667,burned
2024-07-09,9.202708333333334,burned
2024-07-10,8.703541666666666,burned
2024-07-11,9.1625,burned
2024-07-12,9.4475,burned
2024-07-13,9.203125,burned
2024-07-14,9.290000000000001,burned
2024-07-15,9.539583333333333,burned
2024-07-16,8.638958333333333,burned
2024-07-17,8.898333333333333,burned
2024-07-18,8.820833333333333,burned
2024-07-19,8.464375,burned
2024-07-20,8.113541666666666,burned
2024-07-21,6.525416666666666,burned
2024-07-22,4.9191666666666665,burned
2024-07-23,4.317291666666667,burned
2024-07-24,4.577708333333333,burned
2024-07-25,6.6085416666666665,burned
2024-07-26,7.37875,burned
2024-07-27,7.728333333333333,burned
2024-07-28,7.6504166666666675,burned
2024-07-29,8.288958333333333,burned
2024-07-30,8.904583333333333,burned
2024-07-31,8.820416666666667,burned
2024-08-01,9.073541666666666,burned
2024-08-02,9.467083333333333,burned
2024-08-03,10.094791666666667,burned
2024-08-04,9.587708333333333,burned
2024-08-05,9.068125,burned
2024-08-06,8.715416666666666,burned
2024-08-07,8.370833333333334,burned
2024-08-08,8.115,burned
2024-08-09,8.361875,burned
2024-08-10,9.107291666666667,burned
2024-08-11,9.400625,burned
2024-08-12,9.376666666666667,burned
2024-08-13,9.148958333333333,burned
2024-08-14,9.139791666666666,burned
2024-08-15,9.446250000000001,burned
2024-08-16,9.709583333333333,burned
2024-08-17,9.619791666666666,burned
2024-08-18,9.778333333333334,burned
2024-08-19,9.738333333333333,burned
2024-08-20,9.503333333333334,burned
2024-08-21,9.847708333333333,burned
2024-08-22,10.008541666666668,burned
2024-08-23,9.845625,burned
2024-08-24,9.5625,burned
2024-08-25,9.143541666666666,burned
2024-08-26,9.545833333333333,burned
2024-08-27,9.403541666666667,burned
2024-08-28,8.517083333333334,burned
2024-08-29,7.922499999999999,burned
2024-08-30,7.425625,burned
2024-08-31,8.182708333333332,burned
2024-09-01,8.333333333333334,burned
2024-09-02,8.168333333333333,burned
2024-09-03,8.022708333333332,burned
2024-09-04,8.271666666666667,burned
2024-09-05,7.617083333333333,burned
2024-09-06,8.280208333333333,burned
2024-09-07,8.656666666666666,burned
2024-09-08,9.56125,burned
2024-09-09,8.733243243243242,burned
2024-07-05,10.058846153846153,unburned
2024-07-06,10.03875,unburned
2024-07-07,10.083333333333334,unburned
2024-07-08,9.581249999999999,unburned
2024-07-09,9.679375,unburned
2024-07-10,9.520833333333334,unburned
2024-07-11,9.72125,unburned
2024-07-12,9.909374999999999,unburned
2024-07-13,9.536458333333334,unburned
2024-07-14,9.683333333333334,unburned
2024-07-15,10.105833333333333,unburned
2024-07-16,9.937291666666667,unburned
2024-07-17,9.996041666666667,unburned
2024-07-18,9.912291666666667,unburned
2024-07-19,9.673125,unburned
2024-07-20,9.275,unburned
2024-07-21,9.056875,unburned
2024-07-22,8.090625000000001,unburned
2024-07-23,7.546875,unburned
2024-07-24,6.522291666666667,unburned
2024-07-25,7.726458333333333,unburned
2024-07-26,8.76125,unburned
2024-07-27,9.07625,unburned
2024-07-28,9.124583333333334,unburned
2024-07-29,9.332291666666666,unburned
2024-07-30,9.751458333333334,unburned
2024-07-31,9.957708333333334,unburned
2024-08-01,10.182916666666666,unburned
2024-08-02,10.407291666666667,unburned
2024-08-03,10.659791666666667,unburned
2024-08-04,10.063958333333334,unburned
2024-08-05,9.612708333333334,unburned
2024-08-06,9.597083333333334,unburned
2024-08-07,9.53,unburned
2024-08-08,9.3875,unburned
2024-08-09,9.624166666666666,unburned
2024-08-10,10.110208333333334,unburned
2024-08-11,10.270416666666668,unburned
2024-08-12,10.345833333333333,unburned
2024-08-13,10.372708333333334,unburned
2024-08-14,10.279375,unburned
2024-08-15,10.31,unburned
2024-08-16,10.307708333333332,unburned
2024-08-17,10.326458333333333,unburned
2024-08-18,10.340625000000001,unburned
2024-08-19,10.544375,unburned
2024-08-20,10.565624999999999,unburned
2024-08-21,10.636666666666667,unburned
2024-08-22,10.725,unburned
2024-08-23,10.735208333333333,unburned
2024-08-24,10.539583333333333,unburned
2024-08-25,10.369166666666667,unburned
2024-08-26,10.594375,unburned
2024-08-27,10.341666666666667,unburned
2024-08-28,9.758958333333334,unburned
2024-08-29,9.539166666666667,unburned
2024-08-30,9.31,unburned
2024-08-31,9.46125,unburned
2024-09-01,9.846458333333333,unburned
2024-09-02,9.5675,unburned
2024-09-03,9.753333333333334,unburned
2024-09-04,9.897291666666666,unburned
2024-09-05,9.530416666666666,unburned
2024-09-06,9.415625,unburned
2024-09-07,9.855625,unburned
2024-09-08,9.929166666666667,unburned
2024-09-09,8.752162162162161,unburned
